location,month,inc,epi_m3,pre,m3
RO,2022-10-01,7.60960146104348,TRUE,4.84033150734982,6.92906799704772
AC,2022-10-01,4.21798549012991,FALSE,19.9076178812364,4.21798549012992
AM,2022-10-01,4.80737360023197,TRUE,3.30415117366066,4.883279499183
RR,2022-10-01,0.472586069737951,FALSE,4.58785549077711,0.262547816521084
PA,2022-10-01,0.450079012555072,FALSE,1.4848882295236,0.52114411980061
AP,2022-10-01,0.645771231666555,FALSE,3.11327342968705,0.473565569888807
TO,2022-10-01,2.6510030259306,FALSE,10.0215445339353,2.84036038492564
MA,2022-10-01,1.05872933364017,TRUE,0.638578848994235,0.803850049615684
PI,2022-10-01,0.767523325033848,FALSE,1.58424786433578,0.757289680700062
CE,2022-10-01,2.01422693242974,FALSE,5.24104670577372,1.8575648376852
RN,2022-10-01,4.99401777204458,FALSE,5.37118743007576,5.11508486954869
PB,2022-10-01,3.15061346413424,FALSE,3.52823651584221,3.45657855120239
PE,2022-10-01,1.86851719892687,FALSE,4.459154341966,1.73952685975046
AL,2022-10-01,5.59954486899305,TRUE,3.76074198701667,5.29023667622962
SE,2022-10-01,1.76321552642382,FALSE,2.59656716970158,1.76321552642382
BA,2022-10-01,1.500782146259,FALSE,3.10749828945093,1.38026479208971
MG,2022-10-01,1.85796113907785,FALSE,6.58714219564422,1.86117838780353
RJ,2022-10-01,0.662031403640186,FALSE,1.56693347501293,0.656012936334366
SP,2022-10-01,1.50353274791012,FALSE,6.85951251144783,1.48108115100009
PR,2022-10-01,1.18289410081418,FALSE,8.42804452315355,1.14346429745371
SC,2022-10-01,0.399373679007142,FALSE,1.74273086633731,0.365018953931257
RS,2022-10-01,0.0902099962418515,FALSE,0.381665310847904,0.0541259977451115
MS,2022-10-01,9.42217040224551,FALSE,12.463745200619,9.51627447617556
MT,2022-10-01,4.20163737015553,FALSE,7.31871328003893,3.32959942540627
GO,2022-10-01,11.7204159566984,FALSE,19.2490133607959,11.5380343816146
DF,2022-10-01,16.1457551202055,TRUE,8.00808098899717,14.5722281381516
RO,2022-10-01,6.92906799704772,TRUE,4.84033150734982,8.00142375849558
AC,2022-10-01,4.70004097471619,FALSE,19.9076178812364,4.82055484586276
AM,2022-10-01,3.94710674545362,TRUE,3.30415117366066,4.19169241985138
RR,2022-10-01,0.15752868991265,FALSE,4.58785549077711,0.472586069737951
PA,2022-10-01,0.544832488882456,FALSE,1.4848882295236,0.525092181314251
AP,2022-10-01,0.129154246333311,FALSE,3.11327342968705,0.473565569888807
TO,2022-10-01,3.02971774392068,FALSE,10.0215445339353,2.98763833081067
MA,2022-10-01,0.514660092741749,TRUE,0.638578848994235,0.838160722465134
CE,2022-10-01,1.3875785534516,FALSE,5.24104670577372,1.60765149606892
RN,2022-10-01,5.41775261330897,FALSE,5.37118743007576,5.38748583893294
PB,2022-10-01,2.95214962387381,FALSE,3.52823651584221,3.17542144416679
PE,2022-10-01,1.35992671874559,FALSE,4.459154341966,1.62527827362278
AL,2022-10-01,3.90368270866944,TRUE,3.76074198701667,4.41564109669166
SE,2022-10-01,1.40153029023432,FALSE,2.59656716970158,1.50702181745626
BA,2022-10-01,1.13923008375115,FALSE,3.10749828945093,1.30749959711958
MG,2022-10-01,1.84830939290082,FALSE,6.58714219564422,1.92230611359137
RJ,2022-10-01,0.704160674780925,FALSE,1.56693347501293,0.698142207475105
SP,2022-10-01,1.53177830531305,FALSE,6.85951251144783,1.50208425778689
PR,2022-10-01,1.2251403187004,FALSE,8.42804452315355,1.16317919913394
SC,2022-10-01,0.244777416165667,FALSE,1.74273086633731,0.29630950377949
RS,2022-10-01,0.0631469973692961,FALSE,0.381665310847904,0.0691609971187534
MS,2022-10-01,11.1160437329863,FALSE,12.463745200619,11.7394832227728
MT,2022-10-01,3.43530099446679,FALSE,7.31871328003893,3.8404903425321
GO,2022-10-01,10.3957497797742,FALSE,19.2490133607959,11.0772809287715
DF,2022-10-01,12.7934585062645,TRUE,8.00808098899717,12.8162632451349
RO,2022-10-01,9.46560181739555,TRUE,4.84033150734982,8.92942393667162
AC,2022-10-01,5.54363807274217,FALSE,19.9076178812364,5.4632954919778
AM,2022-10-01,3.82059691386856,TRUE,3.30415117366066,3.79529494755155
RR,2022-10-01,0.787643449563252,FALSE,4.58785549077711,0.367566943129517
PA,2022-10-01,0.580365042505225,FALSE,1.4848882295236,0.584313104018866
AP,2022-10-01,0.645771231666555,FALSE,3.11327342968705,0.43051415444437
TO,2022-10-01,3.28219422258074,FALSE,10.0215445339353,3.47155158157578
MA,2022-10-01,0.941092741013483,TRUE,0.638578848994235,0.813653099001241
PI,2022-10-01,0.736822392032494,FALSE,1.58424786433578,0.859626124037909
CE,2022-10-01,1.42114900232543,FALSE,5.24104670577372,1.57035099732022
RN,2022-10-01,5.75068713144527,FALSE,5.37118743007576,5.19579626788477
PB,2022-10-01,3.42350124449232,FALSE,3.52823651584221,3.29119201765204
PE,2022-10-01,1.64739090319588,FALSE,4.459154341966,1.63264915014715
AL,2022-10-01,3.7436957124125,TRUE,3.76074198701667,3.71169831316111
SE,2022-10-01,1.35631963571063,FALSE,2.59656716970158,1.53716225380538
BA,2022-10-01,1.2824865613486,FALSE,3.10749828945093,1.31432133414803
MG,2022-10-01,2.06064780879543,FALSE,6.58714219564422,2.0719081793353
RJ,2022-10-01,0.728234544004204,FALSE,1.56693347501293,0.722216076698384
SP,2022-10-01,1.4709417201375,FALSE,6.85951251144783,1.55422990222308
PR,2022-10-01,1.08150317788725,FALSE,8.42804452315355,1.23077314775189
SC,2022-10-01,0.244777416165667,FALSE,1.74273086633731,0.219011372358753
RS,2022-10-01,0.0541259977451109,FALSE,0.381665310847904,0.0962239959913089
MS,2022-10-01,14.6802355330866,FALSE,12.463745200619,15.2213339581844
MT,2022-10-01,3.88453266297398,FALSE,7.31871328003893,4.52755054142546
GO,2022-10-01,11.1156770498417,FALSE,19.2490133607959,12.5123359537726
DF,2022-10-01,9.50957610893459,TRUE,8.00808098899717,11.6874286710527
RO,2022-11-01,10.3936019955716,TRUE,4.84033150734982,11.4659577570194
AC,2022-11-01,6.14620742847502,FALSE,19.9076178812364,6.14620742847502
AM,2022-11-01,3.61818118333248,TRUE,3.30415117366066,3.76999298123454
RR,2022-11-01,0.15752868991265,FALSE,4.58785549077711,0.367566943129517
PA,2022-11-01,0.627741780668917,FALSE,1.4848882295236,0.686962703373532
AP,2022-11-01,0.516616985333244,FALSE,3.11327342968705,0.473565569888807
TO,2022-11-01,4.10274277822592,FALSE,10.0215445339353,4.29210013722097
MA,2022-11-01,0.98520646324849,TRUE,0.638578848994235,0.945994265706262
PI,2022-11-01,1.07453265504739,FALSE,1.58424786433578,0.931261634374401
CE,2022-11-01,1.90232543618364,FALSE,5.24104670577372,1.87621508705955
RN,2022-11-01,4.41894905890005,FALSE,5.37118743007576,5.00410669683659
PB,2022-11-01,3.49792518458998,FALSE,3.52823651584221,3.19196009752182
PE,2022-11-01,1.89062982849997,FALSE,4.459154341966,1.69161616234208
AL,2022-11-01,3.48771651840138,FALSE,3.76074198701667,3.40239012039768
SE,2022-11-01,1.85363683547119,FALSE,2.59656716970158,1.55223247197994
BA,2022-11-01,1.52124735734435,FALSE,3.10749828945093,1.46212563643111
MG,2022-11-01,2.30676733630964,FALSE,6.58714219564422,2.34859156974343
ES,2022-11-01,0,FALSE,10.0107909449537,1.08246744900953e-15
RJ,2022-11-01,0.734253011310024,FALSE,1.56693347501293,0.698142207475105
SP,2022-11-01,1.65996968121868,FALSE,6.85951251144783,1.61072101702895
PR,2022-11-01,1.38567594666804,FALSE,8.42804452315355,1.35469538688481
SC,2022-11-01,0.16747928474493,FALSE,1.74273086633731,0.249071756800151
RS,2022-11-01,0.171398992859518,FALSE,0.381665310847904,0.129300994613321
MS,2022-11-01,19.8677226084802,TRUE,12.463745200619,20.0088787193753
MT,2022-11-01,6.2628179668356,FALSE,7.31871328003893,5.56694930385387
GO,2022-11-01,16.0255810317019,FALSE,19.2490133607959,14.4849366737575
DF,2022-11-01,12.759251397959,TRUE,8.00808098899717,12.2917542511169
RO,2022-11-01,14.5386694580912,TRUE,4.84033150734982,16.6008920762602
AC,2022-11-01,6.74877678420786,FALSE,19.9076178812364,6.6282629130613
AM,2022-11-01,3.87120084650259,TRUE,3.30415117366066,3.63504916087715
RR,2022-11-01,0.15752868991265,FALSE,4.58785549077711,0.315057379825301
PA,2022-11-01,0.852781286946453,FALSE,1.4848882295236,0.817248733323684
