topicTitle,topicId,value,geo,keyword,time,sys_time
Disease,/m/027x3,33,BR-AL,Dengue,2022-12,2024-11-13 10:31
Zika fever,/m/02vkznh,29,BR-AL,Dengue,2022-12,2024-11-13 10:31
Chikungunya virus infection,/m/01__7l,20,BR-AL,Dengue,2022-12,2024-11-13 10:31
Yellow,/m/088fh,19,BR-AL,Dengue,2022-12,2024-11-13 10:31
Bleeding,/m/012n6x,18,BR-AL,Dengue,2022-12,2024-11-13 10:31
Virus,/m/0g9pc,17,BR-AL,Dengue,2022-12,2024-11-13 10:31
Health,/m/0kt51,17,BR-AL,Dengue,2022-12,2024-11-13 10:31
Body,/m/0180q,17,BR-AL,Dengue,2022-12,2024-11-13 10:31
Ministry of Health of Brazil,/m/0c3ty1w,16,BR-AL,Dengue,2022-12,2024-11-13 10:31
Head,/m/04hgtk,14,BR-AL,Dengue,2022-12,2024-11-13 10:31
Infection,/m/098s1,13,BR-AL,Dengue,2022-12,2024-11-13 10:31
Zika virus,/m/080m_5j,12,BR-AL,Dengue,2022-12,2024-11-13 10:31
Transmission,/m/036991,8,BR-AL,Dengue,2022-12,2024-11-13 10:31
COVID-19,/g/11j2cc_qll,8,BR-AL,Dengue,2022-12,2024-11-13 10:31
Influenza,/m/0cycc,7,BR-AL,Dengue,2022-12,2024-11-13 10:31
Aedes,/m/01yz26,7,BR-AL,Dengue,2022-12,2024-11-13 10:31
Symptom,/m/01b_06,100,BR-AL,Dengue,2023-01,2024-11-13 10:31
Mosquito,/m/09f96,60,BR-AL,Dengue,2023-01,2024-11-13 10:31
Chikungunya virus infection,/m/01__7l,47,BR-AL,Dengue,2023-01,2024-11-13 10:31
Yellow fever mosquito,/m/06y6_w,31,BR-AL,Dengue,2023-01,2024-11-13 10:31
Pain,/m/062t2,20,BR-AL,Dengue,2023-01,2024-11-13 10:31
Bleeding,/m/012n6x,17,BR-AL,Dengue,2023-01,2024-11-13 10:31
Itch,/m/04kllm9,16,BR-AL,Dengue,2023-01,2024-11-13 10:31
Body,/m/0180q,16,BR-AL,Dengue,2023-01,2024-11-13 10:31
Civil service entrance examination,/m/02p18sk,14,BR-AL,Dengue,2023-01,2024-11-13 10:31
Symptom,/m/01b_06,100,BR-AL,Dengue,2023-02,2024-11-13 10:31
Yellow fever mosquito,/m/06y6_w,60,BR-AL,Dengue,2023-02,2024-11-13 10:31
Mosquito,/m/09f96,44,BR-AL,Dengue,2023-02,2024-11-13 10:31
Zika fever,/m/02vkznh,33,BR-AL,Dengue,2023-02,2024-11-13 10:31
Health,/m/0kt51,22,BR-AL,Dengue,2023-02,2024-11-13 10:31
Bleeding,/m/012n6x,21,BR-AL,Dengue,2023-02,2024-11-13 10:31
Fever,/m/0cjf0,20,BR-AL,Dengue,2023-02,2024-11-13 10:31
Disease,/m/027x3,16,BR-AL,Dengue,2023-02,2024-11-13 10:31
Plan,/m/018jrr,12,BR-AL,Dengue,2023-02,2024-11-13 10:31
Chikungunya virus infection,/m/01__7l,11,BR-AL,Dengue,2023-02,2024-11-13 10:31
Symptom,/m/01b_06,100,BR-AL,Dengue,2023-03,2024-11-13 10:31
Mosquito,/m/09f96,49,BR-AL,Dengue,2023-03,2024-11-13 10:31
Yellow fever mosquito,/m/06y6_w,46,BR-AL,Dengue,2023-03,2024-11-13 10:31
